03-04-2017 15:05:23.488,-,AT,"0,0013A20040A27C68,XBee-PRO 868 Single Channel,1061,COM7 - 9600/8/N/1/N,8"

03-04-2017 15:22:15.419,1056,RECV,2474726B2C31343A32323A31342E30302C343835392E373438302C3934392E353834332C34382E39
03-04-2017 15:22:15.469,1057,RECV,39353830302C392E3832363430352C31383532342E35302C35362E33382C39302E363730302C392C312C322C323339382C2D33392E39302C312E30300D
03-04-2017 15:22:15.560,1058,RECV,0A
03-04-2017 15:22:17.381,1059,RECV,2474726B2C31
03-04-2017 15:22:17.431,1060,RECV,343A32323A31362E30302C343835392E373432372C3934392E363139312C34382E3939353731322C392E38323639
03-04-2017 15:22:17.488,1061,RECV,38342C31383439302E31302C35362E33382C39302E363730302C392C312C322C323339392C2D33392E39302C312E30300D0A
03-04-2017 15:22:23.373,1062,RECV,2474726B2C31343A3232
03-04-2017 15:22:23.424,1063,RECV,3A32322E30302C343835392E373330352C3934392E373232302C34382E3939353530362C392E3832383730302C31
03-04-2017 15:22:23.483,1064,RECV,383338342E33302C35362E33382C39302E363730302C392C312C322C323430322C2D33392E39302C312E30300D0A
03-04-2017 15:22:27.403,1065,RECV,2474726B2C31343A32323A32362E30302C343835392E373231372C39
03-04-2017 15:22:27.454,1066,RECV,34392E373839312C34382E3939353336312C392E3832393831392C31383331332E39302C35362E33382C39302E36
03-04-2017 15:22:27.507,1067,RECV,3730302C392C312C322C323430342C2D33392E39302C312E30300D0A
03-04-2017 15:22:33.397,1068,RECV,2474726B2C31343A32323A33322E30302C343835392E373037302C3934392E39
03-04-2017 15:22:33.448,1069,RECV,3033322C34382E3939353131372C392E3833313732302C31383231332E39302C35362E33382C39302E363730302C
03-04-2017 15:22:33.507,1070,RECV,392C312C322C323430372C2D33392E39302C312E30300D0A
03-04-2017 15:22:45.372,1071,RECV,2474726B2C31343A32323A34342E30302C343835392E363836352C39
03-04-2017 15:22:45.423,1072,RECV,35302E313434392C34382E3939343737342C392E3833353734392C31383030322E32302C35362E33382C39302E36
03-04-2017 15:22:45.517,1073,RECV,3730302C392C312C322C323431332C2C0D0A
03-04-2017 15:22:47.382,1074,RECV,2474726B2C31343A32323A
03-04-2017 15:22:47.432,1075,RECV,34362E30302C343835392E363833362C3935302E313834372C34382E3939343732382C392E3833363431312C3137
03-04-2017 15:22:47.482,1076,RECV,3936352E39302C35362E33382C39302E363730302C392C312C322C323431342C2D33392E39302C312E30300D0A
