03-04-2017 15:32:41.545,-,AT,"0,0013A20040A27C68,XBee-PRO 868 Single Channel,1061,COM7 - 9600/8/N/1/N,8"

03-04-2017 15:32:47.395,1512,RECV,2474726B2C31343A33323A34362E30302C343930332E323239352C39
03-04-2017 15:32:47.445,1513,RECV,35362E363333372C34392E3035333832352C392E3934333839352C31303037352E30302C35362E33382C39302E36
03-04-2017 15:32:47.495,1514,RECV,3730302C392C312C322C323731342C2D33392E39302C312E30300D0A
03-04-2017 15:33:33.259,1515,RECV,2474726B2C31343A33333A33322E3030
03-04-2017 15:33:33.309,1516,RECV,2C343930332E373437312C3935362E333836302C34392E3036323435302C392E3933393736372C393633332E3530
03-04-2017 15:33:33.371,1517,RECV,2C35362E33382C39302E363730302C392C312C322C323733372C2D33392E39302C312E30300D0A
03-04-2017 15:33:39.249,1518,RECV,2474726B2C
03-04-2017 15:33:39.300,1519,RECV,31343A33333A33382E30302C343930332E383038312C3935362E333537322C34392E3036333436392C392E393339
03-04-2017 15:33:39.350,1520,RECV,3238362C393537332E38302C35362E33382C39302E363730302C392C312C322C323734302C2D33392E39302C312E30300D0A
03-04-2017 15:34:39.291,1521,RECV,2474726B2C31343A
03-04-2017 15:34:39.341,1522,RECV,33343A33382E30302C343930342E343032382C3935362E303838372C34392E3037333338302C392E393334383132
03-04-2017 15:34:39.405,1523,RECV,2C393034332E36302C35362E33382C39302E363730302C392C312C322C323737302C2D33392E39302C312E30300D
03-04-2017 15:34:39.442,1524,RECV,0A
03-04-2017 15:34:47.241,1525,RECV,2474726B2C31343A33343A34362E30302C3439
03-04-2017 15:34:47.291,1526,RECV,30342E343831342C3935362E303536382C34392E3037343639322C392E3933343238302C383937362E32302C35362E
03-04-2017 15:34:47.381,1527,RECV,33382C39302E363730302C392C312C322C323737342C2D33392E39302C312E30300D0A
03-04-2017 15:39:07.363,1528,RECV,2474726B2C31343A33393A362E30302C343930372E353337362C39
03-04-2017 15:39:07.413,1529,RECV,35362E313631392C34392E3132353632362C392E3933363033322C363737392E34302C35362E33382C39302E3637
03-04-2017 15:39:07.497,1530,RECV,30302C392C312C322C323930342C2D33312E34302C392E35300D0A
