03-04-2017 10:40:43.493,-,AT,"0,0013A20040A27C68,XBee-PRO 868 Single Channel,1061,COM7 - 9600/8/N/1/N,8"

03-04-2017 10:43:33.989,257,RECV,2474726B2C32333A35393A34362E30302C302E303030
03-04-2017 10:43:34.040,258,RECV,302C302E303030302C302E3030303030302C302E3030303030302C302E30302C302E30302C302E303030302C302C
03-04-2017 10:43:34.139,259,RECV,302C302C302C32322E37302C32382E38300D0A
03-04-2017 10:43:36.003,260,RECV,2474726B2C32333A35393A34362E30302C302E303030302C302E303030302C302E303030303030
03-04-2017 10:43:36.053,261,RECV,2C302E3030303030302C302E30302C302E30302C302E303030302C302C302C302C312C32322E37302C33302E3430
03-04-2017 10:43:36.133,262,RECV,0D0A
03-04-2017 10:43:38.014,263,RECV,2474726B2C32333A35393A35322E30302C302E303030302C302E303030302C302E3030303030302C302E3030303030302C302E30302C30
03-04-2017 10:43:38.064,264,RECV,2E30302C302E303030302C302C302C302C322C32322E37302C33302E33300D0A
03-04-2017 10:43:39.978,265,RECV,2474726B2C32333A35393A
03-04-2017 10:43:40.028,266,RECV,35322E30302C302E303030302C302E303030302C302E3030303030302C302E3030303030302C302E30302C302E30
03-04-2017 10:43:40.123,267,RECV,302C302E303030302C302C302C302C332C32322E37302C33302E32300D0A
03-04-2017 10:43:41.996,268,RECV,2474726B2C393A34333A34312E30302C302E303030302C302E303030
03-04-2017 10:43:42.048,269,RECV,302C302E3030303030302C302E3030303030302C302E30302C302E30302C302E303030302C302C302C302C342C32322E37302C33302E32300D0A
03-04-2017 10:43:43.960,270,RECV,2474726B2C393A34333A34312E30302C302E
03-04-2017 10:43:44.010,271,RECV,303030302C302E303030302C302E3030303030302C302E3030303030302C302E30302C302E30302C302E30303030
03-04-2017 10:43:44.072,272,RECV,2C302C302C302C352C2C0D0A
03-04-2017 10:43:45.971,273,RECV,2474726B2C393A34333A34352E30302C
03-04-2017 10:43:46.022,274,RECV,302E303030302C302E303030302C302E3030303030302C302E3030303030302C302E30302C302E30302C302E3030
03-04-2017 10:43:46.121,275,RECV,30302C302C302C302C362C32322E37302C33302E32300D0A
03-04-2017 10:43:47.985,276,RECV,2474726B2C393A34333A34352E30302C302E303030302C302E303030302C302E30
03-04-2017 10:43:48.035,277,RECV,30303030302C302E3030303030302C302E30302C302E30302C302E303030302C302C302C302C372C32322E37302C
03-04-2017 10:43:48.125,278,RECV,33302E30300D0A
03-04-2017 10:43:50.000,279,RECV,2474726B2C393A34333A34392E30302C302E303030302C302E303030302C302E3030
03-04-2017 10:43:50.052,280,RECV,303030302C302E3030303030302C302E30302C302E30302C302E303030302C302C302C302C382C32322E37302C33302E30300D0A
03-04-2017 10:43:51.965,281,RECV,2474726B2C
03-04-2017 10:43:52.015,282,RECV,393A34333A34392E30302C302E303030302C302E303030302C302E3030303030302C302E3030303030302C302E30
03-04-2017 10:43:52.094,283,RECV,302C302E30302C302E303030302C302C302C302C392C32322E37302C33302E30300D0A
03-04-2017 10:43:53.976,284,RECV,2474726B2C393A34333A35332E30302C302E3030
03-04-2017 10:43:54.026,285,RECV,30302C302E303030302C302E3030303030302C302E3030303030302C302E30302C302E30302C302E303030302C30
03-04-2017 10:43:54.093,286,RECV,2C302C302C31302C32322E37302C33302E30300D0A
03-04-2017 10:43:55.988,287,RECV,2474726B2C393A34333A35332E30302C302E30303030
03-04-2017 10:43:56.038,288,RECV,2C302E303030302C302E3030303030302C302E3030303030302C302E30302C302E30302C302E303030302C302C302C302C31312C32322E37302C33302E
03-04-2017 10:43:56.140,289,RECV,30300D0A
03-04-2017 10:43:58.005,290,RECV,2474726B2C393A34333A35372E30302C302E303030302C302E303030302C302E303030303030
03-04-2017 10:43:58.056,291,RECV,2C302E3030303030302C302E30302C302E30302C302E303030302C302C302C302C31322C32322E37302C33302E30300D0A
03-04-2017 10:43:59.968,292,RECV,2474726B2C393A34333A35372E30302C302E303030302C302E3030
03-04-2017 10:44:00.018,293,RECV,30302C302E3030303030302C302E3030303030302C302E30302C302E30302C302E303030302C302C302C302C3133
03-04-2017 10:44:00.102,294,RECV,2C2C0D0A
03-04-2017 10:44:01.982,295,RECV,2474726B2C393A34343A312E30302C302E303030302C302E303030
03-04-2017 10:44:02.032,296,RECV,302C302E3030303030302C302E3030303030302C302E30302C302E30302C302E303030302C302C302C302C31342C
03-04-2017 10:44:02.115,297,RECV,32322E37302C33302E30300D0A
03-04-2017 10:44:03.996,298,RECV,2474726B2C393A34343A312E30302C302E303030302C302E303030302C302E3030303030302C302E303030
03-04-2017 10:44:04.048,299,RECV,3030302C302E30302C302E30302C302E303030302C302C302C302C31352C32322E36302C33302E30300D0A
03-04-2017 10:44:06.012,300,RECV,2474726B2C393A34343A352E30302C302E303030302C302E303030302C302E3030303030302C302E3030303030302C302E30302C302E30302C302E3030
03-04-2017 10:44:06.062,301,RECV,30302C302C302C302C31362C32322E36302C33302E30300D0A
03-04-2017 10:44:07.974,302,RECV,2474726B2C393A34343A352E30302C
03-04-2017 10:44:08.024,303,RECV,302E303030302C302E303030302C302E3030303030302C302E3030303030302C302E30302C302E30302C302E303030
03-04-2017 10:44:08.082,304,RECV,302C302C302C302C31372C32322E36302C33302E30300D0A
03-04-2017 10:44:09.988,305,RECV,2474726B2C393A34343A392E30302C302E303030302C302E303030302C302E30
03-04-2017 10:44:10.039,306,RECV,30303030302C302E3030303030302C302E30302C302E30302C302E303030302C302C302C302C31382C32322E3730
03-04-2017 10:44:10.134,307,RECV,2C33302E30300D0A
