03-04-2017 11:43:49.613,-,AT,"0,0013A20040A27C68,XBee-PRO 868 Single Channel,1061,COM7 - 9600/8/N/1/N,8"

03-04-2017 12:16:55.167,491,RECV,2474726B2C32333A35393A34362E30302C302E303030302C302E303030302C302E3030303030302C302E3030303030
03-04-2017 12:16:55.218,492,RECV,302C302E30302C302E30302C302E303030302C302C302C302C302C32312E37302C33322E31300D0A
03-04-2017 12:16:57.131,493,RECV,247472
03-04-2017 12:16:57.181,494,RECV,6B2C32333A35393A34362E30302C302E303030302C302E303030302C302E3030303030302C302E3030303030302C
03-04-2017 12:16:57.240,495,RECV,302E30302C302E30302C302E303030302C302C302C302C312C32312E36302C33332E36300D0A
03-04-2017 12:16:59.146,496,RECV,2474726B2C32333A35393A35322E30302C302E
03-04-2017 12:16:59.196,497,RECV,303030302C302E303030302C302E3030303030302C302E3030303030302C302E30302C302E30302C302E30303030
03-04-2017 12:16:59.268,498,RECV,2C302C302C302C322C32312E36302C33322E35300D0A
03-04-2017 12:17:01.161,499,RECV,2474726B2C32333A35393A35322E30302C302E303030302C302E303030302C302E3030
03-04-2017 12:17:01.211,500,RECV,303030302C302E3030303030302C302E30302C302E30302C302E303030302C302C302C302C332C32312E36302C3333
03-04-2017 12:17:01.299,501,RECV,2E34300D0A
03-04-2017 12:17:03.126,502,RECV,2474726B2C32
03-04-2017 12:17:03.177,503,RECV,333A35393A35362E30302C302E303030302C302E303030302C302E3030303030302C302E3030303030302C302E30
03-04-2017 12:17:03.244,504,RECV,302C302E30302C302E303030302C302C302C302C342C32312E36302C33332E34300D0A
03-04-2017 12:17:05.140,505,RECV,2474726B2C32333A35393A35362E30302C302E303030302C302E303030302C302E3030303030302C302E
03-04-2017 12:17:05.190,506,RECV,3030303030302C302E30302C302E30302C302E303030302C302C302C302C352C2C0D0A
03-04-2017 12:17:07.152,507,RECV,2474726B2C32333A35393A36302E30302C302E303030302C30
03-04-2017 12:17:07.203,508,RECV,2E303030302C302E3030303030302C302E3030303030302C302E30302C302E30302C302E303030302C302C302C30
03-04-2017 12:17:07.255,509,RECV,2C362C32312E36302C33322E39300D0A
03-04-2017 12:17:09.166,510,RECV,2474726B2C32333A35393A36302E30302C302E303030302C302E303030302C302E3030303030302C30
03-04-2017 12:17:09.216,511,RECV,2E3030303030302C302E30302C302E30302C302E303030302C302C302C302C372C32312E36302C33312E37300D0A
03-04-2017 12:17:11.130,512,RECV,2474726B2C303A303A342E30302C302E
03-04-2017 12:17:11.182,513,RECV,303030302C302E303030302C302E3030303030302C302E3030303030302C302E30302C302E30302C302E30303030
03-04-2017 12:17:11.267,514,RECV,2C302C302C302C382C32312E36302C33312E37300D0A
03-04-2017 12:17:13.145,515,RECV,2474726B2C303A303A342E30302C302E303030302C302E303030302C302E3030
03-04-2017 12:17:13.195,516,RECV,303030302C302E3030303030302C302E30302C302E30302C302E303030302C302C302C302C392C32312E36302C3331
03-04-2017 12:17:13.259,517,RECV,2E37300D0A
03-04-2017 12:17:15.157,518,RECV,2474726B2C303A303A382E30302C302E303030302C302E303030302C302E303030
03-04-2017 12:17:15.208,519,RECV,3030302C302E3030303030302C302E30302C302E30302C302E303030302C302C302C302C31302C32312E36302C33322E32300D0A
